algo,fault_step,fault_gain,tpr,fpr,j,tpr_cusum,fpr_cusum,j_cusum
PPO,50,0.3,0.5999999999999999,0.0,0.5999999999999999,1.0,1.0,0.0
PPO,50,0.5,0.78,0.0,0.78,1.0,1.0,0.0
PPO,100,0.3,0.66,0.0,0.66,1.0,1.0,0.0
PPO,100,0.5,0.6799999999999999,0.0,0.6799999999999999,1.0,1.0,0.0
PPO,150,0.3,0.6,0.0,0.6,1.0,1.0,0.0
PPO,150,0.5,0.58,0.0,0.58,1.0,1.0,0.0
PPO,200,0.3,0.54,0.0,0.54,1.0,1.0,0.0
PPO,200,0.5,0.5,0.0,0.5,1.0,1.0,0.0
SAC,50,0.3,0.9400000000000001,0.26,0.68,1.0,1.0,0.0
SAC,50,0.5,0.8,0.26,0.54,1.0,1.0,0.0
SAC,100,0.3,0.8600000000000001,0.26,0.6000000000000001,1.0,1.0,0.0
SAC,100,0.5,0.74,0.26,0.48,1.0,1.0,0.0
SAC,150,0.3,0.7799999999999999,0.26,0.5199999999999999,0.9400000000000001,0.9199999999999999,0.02000000000000013
SAC,150,0.5,0.72,0.26,0.45999999999999996,0.9199999999999999,0.9199999999999999,0.0
SAC,200,0.3,0.5,0.26,0.24,0.45999999999999996,0.44000000000000006,0.019999999999999907
SAC,200,0.5,0.5599999999999999,0.26,0.29999999999999993,0.4,0.44000000000000006,-0.040000000000000036
PPO+DR,50,0.3,1.0,0.0,1.0,1.0,1.0,0.0
PPO+DR,50,0.5,1.0,0.0,1.0,1.0,1.0,0.0
PPO+DR,100,0.3,1.0,0.0,1.0,1.0,1.0,0.0
PPO+DR,100,0.5,0.9800000000000001,0.0,0.9800000000000001,1.0,1.0,0.0
PPO+DR,150,0.3,1.0,0.0,1.0,1.0,1.0,0.0
PPO+DR,150,0.5,0.96,0.0,0.96,1.0,1.0,0.0
PPO+DR,200,0.3,1.0,0.0,1.0,1.0,1.0,0.0
PPO+DR,200,0.5,0.9,0.0,0.9,1.0,1.0,0.0
