algo,fault_gain,tpr,fpr,j,tpr_std,tpr_cusum,fpr_cusum,j_cusum,n_fault,n_control
PPO,0.0,0.51,0.1,0.41000000000000003,0.32,1.0,1.0,0.0,100,100
PPO,0.1,0.41,0.1,0.30999999999999994,0.3168595903550972,1.0,1.0,0.0,100,100
PPO,0.2,0.47000000000000003,0.1,0.37,0.3234192325759246,1.0,1.0,0.0,100,100
PPO,0.3,0.44000000000000006,0.1,0.3400000000000001,0.2709243436828813,1.0,1.0,0.0,100,100
PPO,0.4,0.5700000000000001,0.1,0.4700000000000001,0.34727510708370674,0.99,1.0,-0.010000000000000009,100,100
PPO,0.5,0.5,0.1,0.4,0.36469165057620934,1.0,1.0,0.0,100,100
PPO,0.6,0.29,0.1,0.18999999999999997,0.20346989949375807,1.0,1.0,0.0,100,100
PPO,0.7,0.2,0.1,0.1,0.11832159566199234,1.0,1.0,0.0,100,100
PPO,0.8,0.20999999999999996,0.1,0.10999999999999996,0.09695359714832656,1.0,1.0,0.0,100,100
PPO,0.9,0.29000000000000004,0.1,0.19000000000000003,0.14628738838327796,1.0,1.0,0.0,100,100
SAC,0.0,0.62,0.31999999999999995,0.30000000000000004,0.11661903789690603,0.5,0.37,0.13,100,100
SAC,0.1,0.54,0.31999999999999995,0.22000000000000008,0.19595917942265426,0.43999999999999995,0.37,0.06999999999999995,100,100
SAC,0.2,0.53,0.31999999999999995,0.21000000000000008,0.19390719429665315,0.45999999999999996,0.37,0.08999999999999997,100,100
SAC,0.3,0.5,0.31999999999999995,0.18000000000000005,0.11832159566199234,0.43,0.37,0.06,100,100
SAC,0.4,0.55,0.31999999999999995,0.2300000000000001,0.08944271909999157,0.47000000000000003,0.37,0.10000000000000003,100,100
SAC,0.5,0.61,0.31999999999999995,0.29000000000000004,0.13564659966250536,0.43999999999999995,0.37,0.06999999999999995,100,100
SAC,0.6,0.5700000000000001,0.31999999999999995,0.2500000000000001,0.16309506430300091,0.45,0.37,0.08000000000000002,100,100
SAC,0.7,0.6,0.31999999999999995,0.28,0.1224744871391589,0.48,0.37,0.10999999999999999,100,100
SAC,0.8,0.5700000000000001,0.31999999999999995,0.2500000000000001,0.10295630140987,0.48,0.37,0.10999999999999999,100,100
SAC,0.9,0.54,0.31999999999999995,0.22000000000000008,0.11135528725660043,0.48,0.37,0.10999999999999999,100,100
PPO+DR,0.0,0.99,0.04,0.95,0.020000000000000018,1.0,1.0,0.0,100,100
PPO+DR,0.1,0.99,0.04,0.95,0.020000000000000018,1.0,1.0,0.0,100,100
PPO+DR,0.2,0.97,0.04,0.9299999999999999,0.039999999999999994,1.0,1.0,0.0,100,100
PPO+DR,0.3,0.97,0.04,0.9299999999999999,0.039999999999999994,1.0,1.0,0.0,100,100
PPO+DR,0.4,0.89,0.04,0.85,0.058309518948453015,1.0,1.0,0.0,100,100
PPO+DR,0.5,0.8400000000000001,0.04,0.8,0.09165151389911681,1.0,1.0,0.0,100,100
PPO+DR,0.6,0.64,0.04,0.6,0.20591260281974,1.0,1.0,0.0,100,100
PPO+DR,0.7,0.37,0.04,0.33,0.17492855684535902,1.0,1.0,0.0,100,100
PPO+DR,0.8,0.23000000000000004,0.04,0.19000000000000003,0.1077032961426901,1.0,1.0,0.0,100,100
PPO+DR,0.9,0.2,0.04,0.16,0.10488088481701516,1.0,1.0,0.0,100,100
