Algorithm,Fault Gain,Mean Reward,Std
PPO,0.0,-11.652159799999996,28.41972086940993
PPO,0.1,-1.413449540000001,37.20149952082876
PPO,0.2,6.285766786666668,30.821841042955228
PPO,0.3,25.682078980000007,44.41478799084206
PPO,0.4,40.42814773333333,47.053938785413
PPO,0.5,77.27414022666667,41.272035830898034
PPO,0.6,156.8749472066667,30.572831129761912
PPO,0.7,214.1953869,24.194923232468067
PPO,0.8,255.1616185133333,2.327977083090053
PPO,0.9,258.33889252000006,7.531975600064004
PPO,1.0,260.1882186,7.0138251832329
SAC,0.0,248.07758987333332,20.930119109071622
SAC,0.1,260.80952893333335,11.848035099268373
SAC,0.2,248.5850421333333,18.515977579661104
SAC,0.3,230.2008724866667,42.00556219310266
SAC,0.4,226.37128572666666,26.504917845975385
SAC,0.5,239.21090338666667,24.91685174478709
SAC,0.6,252.16610363333334,24.669448860760774
SAC,0.7,264.5455192933333,14.215675959248326
SAC,0.8,268.2482939733333,9.284444588147313
SAC,0.9,268.7730849733333,4.124992610528162
SAC,1.0,253.27466559333328,20.297285767174035
PPO+DR,0.0,-57.32795333862305,14.113363265991211
PPO+DR,0.1,-48.91304016113281,11.594895362854004
PPO+DR,0.2,-38.93389129638672,9.7912015914917
PPO+DR,0.3,-29.326229095458984,11.497236251831055
PPO+DR,0.4,-9.74473762512207,9.880590438842773
PPO+DR,0.5,19.38010597229004,18.317155838012695
PPO+DR,0.6,120.2953872680664,26.509231567382812
PPO+DR,0.7,151.7745819091797,13.185940742492676
PPO+DR,0.8,164.32461547851562,17.16977310180664
PPO+DR,0.9,140.21994018554688,10.713362693786621
PPO+DR,1.0,154.1529541015625,13.562261581420898
Q-Learn,0.0,-81.8962986093293,5.090973810176632
Q-Learn,0.1,-80.18901192133426,4.408920434383995
Q-Learn,0.2,-75.48402639742451,6.0788507585130676
Q-Learn,0.3,-73.83688281690095,5.0685536792606944
Q-Learn,0.4,-66.59220208481172,10.594259771135963
Q-Learn,0.5,-68.64245528132058,5.382907967973333
Q-Learn,0.6,-68.27865055850808,2.92164617953042
Q-Learn,0.7,-66.80702084259413,9.044355361302346
Q-Learn,0.8,-67.19533278944434,7.978904340320059
Q-Learn,0.9,-63.53052576052145,7.589921139473073
Q-Learn,1.0,-63.207238571473496,13.752411610018356
