algo,gain,fault_step,seed,episode,return,length
PPO,0.5,0,0,0.0,-169.7704743487174,98.0
PPO,0.5,0,0,1.0,-49.362699739508926,143.0
PPO,0.5,0,0,2.0,-45.13161851307261,131.0
PPO,0.5,0,0,3.0,-10.035200566095057,114.0
PPO,0.5,0,0,4.0,-19.74788053862551,134.0
PPO,0.5,0,0,5.0,-16.63190633012455,135.0
PPO,0.5,0,0,6.0,-24.864965466076328,126.0
PPO,0.5,0,0,7.0,-21.58051869520557,142.0
PPO,0.5,0,0,8.0,-36.772713407653,92.0
PPO,0.5,0,0,9.0,-82.10219553561727,109.0
PPO,0.5,0,0,10.0,-30.785346718396042,121.0
PPO,0.5,0,0,11.0,-21.165289171742188,126.0
PPO,0.5,0,0,12.0,-72.64657894358793,121.0
PPO,0.5,0,0,13.0,-96.21396553015107,103.0
PPO,0.5,0,0,14.0,25.45148305284411,141.0
PPO,0.5,0,0,15.0,4.756990356233729,144.0
PPO,0.5,0,0,16.0,-39.809444280439045,152.0
PPO,0.5,0,0,17.0,-48.074912729049004,113.0
PPO,0.5,0,0,18.0,-243.13823964303123,121.0
PPO,0.5,0,0,19.0,-18.039191989095457,133.0
PPO,0.5,0,1,0.0,-83.12145870683949,109.0
PPO,0.5,0,1,1.0,-28.38560760466794,100.0
PPO,0.5,0,1,2.0,-68.43087462670621,101.0
PPO,0.5,0,1,3.0,-180.01010483710672,125.0
PPO,0.5,0,1,4.0,26.11040940146158,94.0
PPO,0.5,0,1,5.0,-12.052804811357404,113.0
PPO,0.5,0,1,6.0,-50.21722751706366,119.0
PPO,0.5,0,1,7.0,-53.607922489432674,111.0
PPO,0.5,0,1,8.0,-56.21925044346224,68.0
PPO,0.5,0,1,9.0,-58.44497046651537,93.0
PPO,0.5,0,1,10.0,-88.8453428620576,100.0
PPO,0.5,0,1,11.0,-30.538828759699143,123.0
PPO,0.5,0,1,12.0,-45.58141603531061,133.0
PPO,0.5,0,1,13.0,-30.893171727451346,116.0
PPO,0.5,0,1,14.0,40.67173149568782,146.0
PPO,0.5,0,1,15.0,-54.08020450313295,84.0
PPO,0.5,0,1,16.0,-54.733541305422094,95.0
PPO,0.5,0,1,17.0,-78.33070606492535,94.0
