algo,rate,det_rate,latency,gain_at_detect,false_alarm
PPO,0.02,0.6,46.53333333333333,0.10577777777777773,0.05333333333333333
PPO,0.01,0.5333333333333333,71.425,0.27775,0.05333333333333333
PPO,0.005,0.49333333333333335,113.32432432432432,0.4286486486486486,0.05333333333333333
PPO,0.002,0.22666666666666666,130.23529411764707,0.7354117647058823,0.05333333333333333
SAC,0.02,0.8,-14.883333333333333,0.6423333333333333,0.30666666666666664
SAC,0.01,0.68,-24.0,0.8401960784313725,0.30666666666666664
SAC,0.005,0.6133333333333333,-33.73913043478261,0.9470652173913043,0.30666666666666664
SAC,0.002,0.6533333333333333,-26.591836734693878,0.9699591836734693,0.30666666666666664
PPO_DR,0.02,0.8,53.68333333333333,0.08266666666666665,0.0
PPO_DR,0.01,0.8933333333333333,84.59701492537313,0.15671641791044777,0.0
PPO_DR,0.005,0.9733333333333334,136.5205479452055,0.30835616438356167,0.0
PPO_DR,0.002,1.0,259.36,0.47776,0.0
