algo,rate,seed,episode,return,length,final_gain
PPO,0.02,0,0.0,-52.887720572270055,168.0,0.0
PPO,0.02,0,1.0,-69.503829254337,175.0,0.0
PPO,0.02,0,2.0,-59.21964925250163,175.0,0.0
PPO,0.02,0,3.0,-28.333684240226873,171.0,0.0
PPO,0.02,0,4.0,-84.46144223369508,173.0,0.0
PPO,0.02,0,5.0,-72.38359045709282,170.0,0.0
PPO,0.02,0,6.0,-50.202201281186404,178.0,0.0
PPO,0.02,0,7.0,-49.64273506574344,172.0,0.0
PPO,0.02,0,8.0,-34.224095894442556,169.0,0.0
PPO,0.02,0,9.0,-82.84237470549353,173.0,0.0
PPO,0.02,0,10.0,-55.38173099433381,174.0,0.0
PPO,0.02,0,11.0,-81.7920580406363,173.0,0.0
PPO,0.02,0,12.0,-86.84043719862592,174.0,0.0
PPO,0.02,0,13.0,-42.80378522163329,178.0,0.0
PPO,0.02,0,14.0,-40.743182035527525,174.0,0.0
PPO,0.02,0,15.0,-60.576370156209734,185.0,0.0
PPO,0.02,0,16.0,-87.5564574247449,175.0,0.0
PPO,0.02,0,17.0,-86.05801405617736,172.0,0.0
PPO,0.02,0,18.0,-57.56385808963367,178.0,0.0
PPO,0.02,0,19.0,-69.68235919769882,174.0,0.0
PPO,0.02,1,0.0,-31.066580542459207,165.0,0.0
PPO,0.02,1,1.0,3.112457112014539,161.0,0.0
PPO,0.02,1,2.0,-12.735830194383794,169.0,0.0
PPO,0.02,1,3.0,-4.745693700566676,158.0,0.0
PPO,0.02,1,4.0,-13.01617453629487,157.0,0.0
PPO,0.02,1,5.0,-30.04480594646151,166.0,0.0
PPO,0.02,1,6.0,-11.500474900021118,167.0,0.0
PPO,0.02,1,7.0,-31.07846714537385,163.0,0.0
PPO,0.02,1,8.0,8.698536233677146,164.0,0.0
PPO,0.02,1,9.0,7.120291841567564,163.0,0.0
PPO,0.02,1,10.0,7.296512134236281,163.0,0.0
PPO,0.02,1,11.0,-61.30537195950939,164.0,0.0
PPO,0.02,1,12.0,-30.912519515107462,161.0,0.0
PPO,0.02,1,13.0,-35.889132251331176,160.0,0.0
PPO,0.02,1,14.0,-24.959493923596327,171.0,0.0
PPO,0.02,1,15.0,-18.75719076187113,160.0,0.0
PPO,0.02,1,16.0,-4.893175655235751,159.0,0.0
PPO,0.02,1,17.0,-12.51250054980045,164.0,0.0
PPO,0.02,1,18.0,-0.2568608709696889,165.0,0.0
PPO,0.02,1,19.0,-18.776621942166358,161.0,0.0
PPO,0.02,2,0.0,-84.8462165062184,177.0,0.0
PPO,0.02,2,1.0,-66.93757163199744,186.0,0.0
PPO,0.02,2,2.0,-42.97076592778582,171.0,0.0
PPO,0.02,2,3.0,-52.28009160290564,183.0,0.0
PPO,0.02,2,4.0,-73.24950572665685,174.0,0.0
PPO,0.02,2,5.0,-49.4947579152478,168.0,0.0
PPO,0.02,2,6.0,-73.9385946341965,176.0,0.0
PPO,0.02,2,7.0,-47.94676434463287,179.0,0.0
PPO,0.02,2,8.0,-70.86696676799465,170.0,0.0
PPO,0.02,2,9.0,-79.35606038776736,172.0,0.0
PPO,0.02,2,10.0,-52.747327385444976,184.0,0.0
PPO,0.02,2,11.0,-71.14985901099574,177.0,0.0
PPO,0.02,2,12.0,-78.89127172560296,180.0,0.0
PPO,0.02,2,13.0,-56.57485843387906,165.0,0.0
PPO,0.02,2,14.0,-64.11348251807085,176.0,0.0
PPO,0.02,2,15.0,-50.29685504099906,174.0,0.0
PPO,0.02,2,16.0,-53.559952689374185,171.0,0.0
PPO,0.02,2,17.0,-54.42196933647906,178.0,0.0
PPO,0.02,2,18.0,-42.51056889136294,181.0,0.0
PPO,0.02,2,19.0,-57.945727347250525,185.0,0.0
PPO,0.02,3,0.0,-84.38016462132876,174.0,0.0
PPO,0.02,3,1.0,-53.70976448848711,172.0,0.0
PPO,0.02,3,2.0,-45.194761672982864,171.0,0.0
PPO,0.02,3,3.0,-66.09094088584072,169.0,0.0
PPO,0.02,3,4.0,-38.75555983936542,173.0,0.0
PPO,0.02,3,5.0,-40.57250678322947,176.0,0.0
PPO,0.02,3,6.0,-64.29468449112409,177.0,0.0
PPO,0.02,3,7.0,-51.61902268696751,176.0,0.0
PPO,0.02,3,8.0,-61.61158792413522,167.0,0.0
