algo,condition,seed,episode,rho,lam
PPO,actuator,0.0,0.0,-0.2618737050330641,0.5415430650908782
PPO,actuator,0.0,1.0,0.08021599029588657,1.6446562067510755
PPO,actuator,0.0,2.0,0.4166084299331334,2.18400369615709
PPO,actuator,0.0,3.0,-0.24593011520124042,0.5541981421466311
PPO,actuator,0.0,4.0,-0.190979088325005,0.5239004477519182
PPO,actuator,0.0,5.0,0.0876119846557159,2.3375586610747554
PPO,actuator,0.0,6.0,0.399012941205458,2.2552222727654887
PPO,actuator,0.0,7.0,0.1986509147467721,1.541751190824752
PPO,actuator,0.0,8.0,-0.3363745172450437,0.3893261287843377
PPO,actuator,0.0,9.0,-0.15647827592365887,0.4585365906051495
PPO,actuator,0.0,10.0,-0.07897796339579319,0.8048651595491843
PPO,actuator,0.0,11.0,0.1421603074454938,1.6086162474154664
PPO,actuator,0.0,12.0,0.1274546535649986,1.4085477166050135
PPO,actuator,0.0,13.0,-0.15038274109419617,0.5451353880258788
PPO,actuator,0.0,14.0,0.07764088799253599,1.4570613349130033
PPO,actuator,0.0,15.0,0.2692274747185253,2.039407625732184
PPO,actuator,0.0,16.0,0.3032170524757306,3.016127617234692
PPO,actuator,0.0,17.0,0.050546597644106676,1.5144985533929982
PPO,actuator,0.0,18.0,-0.19995272956444163,0.48097382162196917
PPO,actuator,0.0,19.0,0.10322763084529221,1.3004715427891067
PPO,actuator,1.0,0.0,0.4406705392103647,3.202596464647191
PPO,actuator,1.0,1.0,0.19365368239901543,2.66873035296068
PPO,actuator,1.0,2.0,0.31568033367487897,2.379321973721132
PPO,actuator,1.0,3.0,0.016689837272674632,1.0697804849797945
PPO,actuator,1.0,4.0,0.3340202276003093,3.1456906331735968
PPO,actuator,1.0,5.0,0.35117057162525206,3.073179080559842
PPO,actuator,1.0,6.0,0.09196531186237816,1.2958541161851755
PPO,actuator,1.0,7.0,0.12812148134781834,1.3782306836743035
PPO,actuator,1.0,8.0,0.2965014498554321,3.4524334082952524
