algo,dim,nominal,faulted,delta,ratio,share
PPO,leg_L,0.14716734,0.34988898,0.20272163,2.4826324815526646,0.066945806
PPO,leg_R,0.1677537,0.3794177,0.211664,2.3702406052820897,0.069898896
PPO,omega,0.30488998,0.80085486,0.4959649,2.642562497411279,0.16378504
PPO,theta,0.14258763,0.3295524,0.18696478,2.353384885549826,0.06174234
PPO,v_x,0.48992974,0.9260477,0.43611798,1.894380557260194,0.14402148
PPO,v_y,0.2966038,1.3618748,1.065271,4.596470843346058,0.35178992
PPO,x,0.03783225,0.08293532,0.045103073,2.1963472839100215,0.01489462
PPO,y,0.06659175,0.45092982,0.38433805,6.988512087035767,0.12692194
PPO_DR,leg_L,0.1916794,1.0340183,0.84233886,5.812757650490199,0.17842643
PPO_DR,leg_R,0.19070107,0.9925125,0.8018114,5.010807995115279,0.1698418
PPO_DR,omega,0.28484446,0.89072055,0.6058761,3.327653605765447,0.12833826
PPO_DR,theta,0.119638965,0.40064391,0.28100497,3.4527808663246047,0.05952321
PPO_DR,v_x,0.48614183,1.0697205,0.5835786,2.2565499146499306,0.123615146
PPO_DR,v_y,0.24755092,1.4212718,1.173721,5.906718331680897,0.24862066
PPO_DR,x,0.04141536,0.10131262,0.059897266,2.4700456677514286,0.0126875965
PPO_DR,y,0.06002874,0.43273196,0.37270322,7.692804029142538,0.07894698
SAC,leg_L,0.2387828,0.40373373,0.16495097,1.7415814359677113,0.075155444
SAC,leg_R,0.31714955,0.4561182,0.13896866,1.574296983726286,0.063317314
SAC,omega,0.42027897,1.2274079,0.8071289,2.9300037451671432,0.36774644
SAC,theta,0.13677512,0.36076775,0.22399263,2.7108574901793894,0.10205618
SAC,v_x,0.5959347,0.840773,0.24483828,1.4096940410021837,0.11155394
SAC,v_y,0.4847392,0.95618284,0.47144365,1.9864650325392468,0.21480055
SAC,x,0.037340105,0.11094399,0.07360388,3.0728049968733635,0.03353562
SAC,y,0.0358086,0.105679035,0.06987044,3.0332837883122696,0.031834576
