algo,sigma,detector,det_rate,fa_rate,latency,gain_at_alarm
PPO_DR,0.0,ztest,0.93,0.04,140.0,0.35030460409589204
PPO_DR,0.0,page_hinkley,1.0,1.0,2.5,0.8817619850388101
PPO_DR,0.0,ewma,1.0,1.0,-65.0,0.9584114576510936
PPO_DR,0.02,ztest,0.89,0.04,140.0,0.3536102300471249
PPO_DR,0.02,page_hinkley,1.0,1.0,2.5,0.8925263691037142
PPO_DR,0.02,ewma,1.0,1.0,-65.0,0.9494000455171752
PPO_DR,0.04,ztest,0.94,0.04,141.0,0.3447594748515662
PPO_DR,0.04,page_hinkley,1.0,1.0,4.0,0.8722490608195866
PPO_DR,0.04,ewma,1.0,1.0,-65.0,0.9526808942625905
PPO_DR,0.06,ztest,0.9,0.04,133.5,0.3583164908839798
PPO_DR,0.06,page_hinkley,1.0,1.0,2.5,0.8848562866816896
PPO_DR,0.06,ewma,1.0,1.0,-65.0,0.9551657633483438
PPO,0.0,ztest,0.33,0.01,137.0,0.36136359380053257
PPO,0.0,page_hinkley,1.0,1.0,-20.5,0.8887063463093381
PPO,0.0,ewma,1.0,0.98,-64.0,0.9266581868309056
PPO,0.02,ztest,0.31,0.01,138.0,0.3561096972055255
PPO,0.02,page_hinkley,1.0,1.0,-14.0,0.8748211022373172
PPO,0.02,ewma,0.99,0.98,-64.0,0.9388915094359475
PPO,0.04,ztest,0.36,0.01,133.5,0.34216725017683375
PPO,0.04,page_hinkley,1.0,1.0,-19.0,0.8844566190860632
PPO,0.04,ewma,0.98,0.98,-64.0,0.9375358895842826
PPO,0.06,ztest,0.41,0.01,130.0,0.37755813158692747
PPO,0.06,page_hinkley,1.0,1.0,-19.0,0.8682895842800369
PPO,0.06,ewma,0.99,0.98,-64.0,0.9333400449725607
