algo,window,z_thresh,TPR,FPR,youden_J
ppo,10,1.5,0.96,0.55,0.4099999999999999
sac,10,1.5,0.66,0.6,0.06000000000000005
ppo,10,2.0,0.9,0.4,0.5
sac,10,2.0,0.38,0.25,0.13
ppo,10,2.5,0.8,0.3,0.5
sac,10,2.5,0.18,0.1,0.07999999999999999
ppo,10,3.0,0.66,0.05,0.61
sac,10,3.0,0.1,0.05,0.05
ppo,10,4.0,0.3,0.0,0.3
sac,10,4.0,0.08,0.0,0.08
ppo,20,1.5,0.96,0.55,0.4099999999999999
sac,20,1.5,0.66,0.6,0.06000000000000005
ppo,20,2.0,0.9,0.4,0.5
sac,20,2.0,0.38,0.25,0.13
ppo,20,2.5,0.8,0.3,0.5
sac,20,2.5,0.18,0.1,0.07999999999999999
ppo,20,3.0,0.66,0.05,0.61
sac,20,3.0,0.1,0.05,0.05
ppo,20,4.0,0.3,0.0,0.3
sac,20,4.0,0.08,0.0,0.08
ppo,30,1.5,0.96,0.55,0.4099999999999999
sac,30,1.5,0.66,0.6,0.06000000000000005
ppo,30,2.0,0.9,0.4,0.5
sac,30,2.0,0.38,0.25,0.13
ppo,30,2.5,0.8,0.3,0.5
sac,30,2.5,0.18,0.1,0.07999999999999999
ppo,30,3.0,0.66,0.05,0.61
sac,30,3.0,0.1,0.05,0.05
ppo,30,4.0,0.3,0.0,0.3
sac,30,4.0,0.08,0.0,0.08
ppo,50,1.5,0.96,0.55,0.4099999999999999
sac,50,1.5,0.66,0.6,0.06000000000000005
ppo,50,2.0,0.9,0.4,0.5
sac,50,2.0,0.38,0.25,0.13
ppo,50,2.5,0.8,0.3,0.5
sac,50,2.5,0.18,0.1,0.07999999999999999
ppo,50,3.0,0.66,0.05,0.61
sac,50,3.0,0.1,0.05,0.05
ppo,50,4.0,0.3,0.0,0.3
sac,50,4.0,0.08,0.0,0.08
ppo_dr,10,1.5,1.0,0.8,0.19999999999999996
ppo_dr,10,2.0,0.95,0.45,0.49999999999999994
ppo_dr,10,2.5,0.95,0.2,0.75
ppo_dr,10,3.0,0.95,0.1,0.85
ppo_dr,10,4.0,0.85,0.0,0.85
ppo_dr,20,1.5,1.0,0.8,0.19999999999999996
ppo_dr,20,2.0,0.95,0.45,0.49999999999999994
ppo_dr,20,2.5,0.95,0.2,0.75
ppo_dr,20,3.0,0.95,0.1,0.85
ppo_dr,20,4.0,0.85,0.0,0.85
ppo_dr,30,1.5,1.0,0.8,0.19999999999999996
ppo_dr,30,2.0,0.95,0.45,0.49999999999999994
ppo_dr,30,2.5,0.95,0.2,0.75
ppo_dr,30,3.0,0.95,0.1,0.85
ppo_dr,30,4.0,0.85,0.0,0.85
ppo_dr,50,1.5,1.0,0.8,0.19999999999999996
ppo_dr,50,2.0,0.95,0.45,0.49999999999999994
ppo_dr,50,2.5,0.95,0.2,0.75
ppo_dr,50,3.0,0.95,0.1,0.85
ppo_dr,50,4.0,0.85,0.0,0.85
